MSA Code,State FIP,County FIP,Census Tract,SCCT,MFI,MHI,LMI%,Census Tract Income Indicator,Total persons,Total families,Total households,HMM%,Census Tract Minority Indicator,MSA Name,County
99999,39,1,770100,39001770100,66160,53554,62.03,Moderate,4742,1322,1850,5.65,Non-Minority,Non-MSA,Adams County
99999,39,1,770200,39001770200,66160,53554,93.83,Middle,4714,1249,1723,4.67,Non-Minority,Non-MSA,Adams County
99999,39,1,770301,39001770301,66160,53554,129.4,Upper,3988,1002,1229,4.16,Non-Minority,Non-MSA,Adams County
99999,39,1,770302,39001770302,66160,53554,117.2,Middle,3077,867,1071,4.39,Non-Minority,Non-MSA,Adams County
99999,39,1,770400,39001770400,66160,53554,66.3,Moderate,4685,1057,1866,4.16,Non-Minority,Non-MSA,Adams County
99999,39,1,770500,39001770500,66160,53554,73.05,Moderate,3038,962,1367,5.04,Non-Minority,Non-MSA,Adams County
99999,39,1,770600,39001770600,66160,53554,54.94,Moderate,3233,827,1290,4.79,Non-Minority,Non-MSA,Adams County
30620,39,3,10100,39003010100,64913,51892,122.37,Upper,4126,1051,1720,9.96,Non-Minority,"Lima, OH",Allen County
30620,39,3,10200,39003010200,64913,51892,119.35,Middle,3812,1133,1545,6.61,Non-Minority,"Lima, OH",Allen County
30620,39,3,10300,39003010300,64913,51892,119.05,Middle,1600,454,604,5.94,Non-Minority,"Lima, OH",Allen County
30620,39,3,10600,39003010600,64913,51892,109.24,Middle,5128,1311,1861,7.66,Non-Minority,"Lima, OH",Allen County
30620,39,3,10801,39003010801,64913,51892,121.38,Upper,4453,1289,1894,10.85,Non-Minority,"Lima, OH",Allen County
30620,39,3,10802,39003010802,64913,51892,122.91,Upper,3602,928,1363,14.69,Non-Minority,"Lima, OH",Allen County
30620,39,3,10900,39003010900,64913,51892,108.13,Middle,4545,920,1958,25.87,Non-Minority,"Lima, OH",Allen County
30620,39,3,11000,39003011000,64913,51892,76.19,Moderate,5437,1248,2535,33.2,Non-Minority,"Lima, OH",Allen County
30620,39,3,11200,39003011200,64913,51892,113.01,Middle,2843,419,598,29.79,Non-Minority,"Lima, OH",Allen County
30620,39,3,11301,39003011301,64913,51892,117.94,Middle,4538,991,2043,12.96,Non-Minority,"Lima, OH",Allen County
30620,39,3,11302,39003011302,64913,51892,150.7,Upper,2771,809,899,6.53,Non-Minority,"Lima, OH",Allen County
30620,39,3,11400,39003011400,64913,51892,119.67,Middle,3143,810,1065,4.65,Non-Minority,"Lima, OH",Allen County
30620,39,3,11500,39003011500,64913,51892,106.28,Middle,2757,840,970,6.13,Non-Minority,"Lima, OH",Allen County
30620,39,3,11600,39003011600,64913,51892,110.72,Middle,2579,644,1121,9.5,Non-Minority,"Lima, OH",Allen County
30620,39,3,11800,39003011800,64913,51892,148.53,Upper,2298,619,946,15.36,Non-Minority,"Lima, OH",Allen County
30620,39,3,11900,39003011900,64913,51892,107.34,Middle,3089,723,1214,10.36,Non-Minority,"Lima, OH",Allen County
30620,39,3,12000,39003012000,64913,51892,176.67,Upper,2593,722,940,11.76,Non-Minority,"Lima, OH",Allen County
30620,39,3,12100,39003012100,64913,51892,148.06,Upper,3438,912,1207,13.96,Non-Minority,"Lima, OH",Allen County
30620,39,3,12200,39003012200,64913,51892,64.18,Moderate,3338,958,1578,40.68,Non-Minority,"Lima, OH",Allen County
30620,39,3,12300,39003012300,64913,51892,66.66,Moderate,3893,1032,1802,34.29,Non-Minority,"Lima, OH",Allen County
30620,39,3,12400,39003012400,64913,51892,61.3,Moderate,2466,501,1016,30.29,Non-Minority,"Lima, OH",Allen County
30620,39,3,12600,39003012600,64913,51892,56.17,Moderate,1742,431,668,26.29,Non-Minority,"Lima, OH",Allen County
30620,39,3,12700,39003012700,64913,51892,58.36,Moderate,1481,377,613,47.27,Non-Minority,"Lima, OH",Allen County
30620,39,3,12900,39003012900,64913,51892,32.73,Low,1668,422,702,51.62,Majority Minority,"Lima, OH",Allen County
30620,39,3,13000,39003013000,64913,51892,69.9,Moderate,4005,880,1745,31.76,Non-Minority,"Lima, OH",Allen County
30620,39,3,13100,39003013100,64913,51892,108.08,Middle,2343,649,1067,24.29,Non-Minority,"Lima, OH",Allen County
30620,39,3,13200,39003013200,64913,51892,83.47,Middle,1827,508,705,37.16,Non-Minority,"Lima, OH",Allen County
30620,39,3,13300,39003013300,64913,51892,67.01,Moderate,1352,264,344,52.88,Majority Minority,"Lima, OH",Allen County
30620,39,3,13400,39003013400,64913,51892,47.44,Low,2124,479,921,44.63,Non-Minority,"Lima, OH",Allen County
30620,39,3,13600,39003013600,64913,51892,45.78,Low,1182,254,423,48.82,Non-Minority,"Lima, OH",Allen County
30620,39,3,13700,39003013700,64913,51892,43.88,Low,1095,215,409,64.57,Majority Minority,"Lima, OH",Allen County
30620,39,3,13800,39003013800,64913,51892,43.8,Low,2614,759,1103,64.19,Majority Minority,"Lima, OH",Allen County
30620,39,3,13900,39003013900,64913,51892,85.76,Middle,3313,859,1501,8.51,Non-Minority,"Lima, OH",Allen County
30620,39,3,14000,39003014000,64913,51892,113.08,Middle,3316,965,1283,6.42,Non-Minority,"Lima, OH",Allen County
30620,39,3,14100,39003014100,64913,51892,53.43,Moderate,1695,204,662,37.64,Non-Minority,"Lima, OH",Allen County
99999,39,5,970101,39005970101,66160,53554,109.98,Middle,2375,697,831,5.94,Non-Minority,Non-MSA,Ashland County
99999,39,5,970102,39005970102,66160,53554,113.52,Middle,6168,1615,2244,6.13,Non-Minority,Non-MSA,Ashland County
99999,39,5,970200,39005970200,66160,53554,96.54,Middle,5803,1677,2172,4.65,Non-Minority,Non-MSA,Ashland County
99999,39,5,970300,39005970300,66160,53554,108.1,Middle,3823,1081,1840,6.8,Non-Minority,Non-MSA,Ashland County
99999,39,5,970400,39005970400,66160,53554,88.79,Middle,3614,918,1351,7.75,Non-Minority,Non-MSA,Ashland County
99999,39,5,970500,39005970500,66160,53554,77.66,Moderate,2954,663,1440,12.25,Non-Minority,Non-MSA,Ashland County
99999,39,5,970600,39005970600,66160,53554,113.44,Middle,4433,1009,1492,8.73,Non-Minority,Non-MSA,Ashland County
99999,39,5,970700,39005970700,66160,53554,116.83,Middle,5493,1329,2088,6.52,Non-Minority,Non-MSA,Ashland County
99999,39,5,970800,39005970800,66160,53554,107.69,Middle,4148,1028,1723,9.04,Non-Minority,Non-MSA,Ashland County
99999,39,5,970900,39005970900,66160,53554,102.58,Middle,5061,1271,1780,3.97,Non-Minority,Non-MSA,Ashland County
99999,39,5,971000,39005971000,66160,53554,96,Middle,4750,1573,2080,5.05,Non-Minority,Non-MSA,Ashland County
99999,39,5,971100,39005971100,66160,53554,98.46,Middle,3825,922,1463,6.46,Non-Minority,Non-MSA,Ashland County
17410,39,7,101,39007000101,75548,56674,77.94,Moderate,4653,806,1524,29.77,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,102,39007000102,75548,56674,58.78,Moderate,3130,905,1379,9.68,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,103,39007000103,75548,56674,63.11,Moderate,3527,915,1350,10.43,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,200,39007000200,75548,56674,83.77,Middle,4344,1208,1678,9.74,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,300,39007000300,75548,56674,73.15,Moderate,2093,560,848,10.65,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,400,39007000400,75548,56674,72.1,Moderate,1681,393,750,17.19,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,500,39007000500,75548,56674,68.86,Moderate,4108,1165,1750,16.92,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,601,39007000601,75548,56674,49.45,Low,2582,627,1073,26.84,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,602,39007000602,75548,56674,87.54,Middle,3294,1062,1704,16.03,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,603,39007000603,75548,56674,89.91,Middle,4058,1026,1602,21.98,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,701,39007000701,75548,56674,50.1,Moderate,3036,712,1429,41.34,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,702,39007000702,75548,56674,85.53,Middle,2836,803,1058,12.48,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,703,39007000703,75548,56674,60.8,Moderate,3631,754,1330,36.85,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,704,39007000704,75548,56674,57.91,Moderate,3793,857,1623,21.17,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,801,39007000801,75548,56674,90.62,Middle,1346,364,728,12.41,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,802,39007000802,75548,56674,83.26,Middle,4912,1281,2142,14.45,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,900,39007000900,75548,56674,89.83,Middle,4477,891,1886,12.93,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1001,39007001001,75548,56674,99.66,Middle,5611,1320,1939,7.13,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1002,39007001002,75548,56674,69.44,Moderate,3397,1080,1518,7.77,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1101,39007001101,75548,56674,77.86,Moderate,1852,433,680,6.64,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1102,39007001102,75548,56674,93.58,Middle,6139,1304,2234,5.95,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1201,39007001201,75548,56674,88.9,Middle,3497,1068,1317,7.81,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1202,39007001202,75548,56674,92.94,Middle,3327,1087,1471,6.82,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1301,39007001301,75548,56674,88.55,Middle,3628,777,1119,6.26,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1303,39007001303,75548,56674,66.44,Moderate,2835,612,830,7.48,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1304,39007001304,75548,56674,87.27,Middle,979,405,599,6.03,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1401,39007001401,75548,56674,80.92,Middle,4119,920,1239,3.35,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,1402,39007001402,75548,56674,71.42,Moderate,4689,1202,1814,4.63,Non-Minority,"Cleveland, OH",Ashtabula County
17410,39,7,990000,39007990000,75548,56674,0,Unknown,0,0,0,0,Non-Minority,"Cleveland, OH",Ashtabula County
99999,39,9,972600,39009972600,66160,53554,66.28,Moderate,4042,951,1501,5,Non-Minority,Non-MSA,Athens County
99999,39,9,972700,39009972700,66160,53554,77.44,Moderate,3633,944,1553,7.35,Non-Minority,Non-MSA,Athens County
99999,39,9,972800,39009972800,66160,53554,76.04,Moderate,3815,736,1384,10.62,Non-Minority,Non-MSA,Athens County
99999,39,9,972900,39009972900,66160,53554,97.14,Middle,5776,1133,2788,14.96,Non-Minority,Non-MSA,Athens County
99999,39,9,973000,39009973000,66160,53554,137.11,Upper,3707,622,1480,15.38,Non-Minority,Non-MSA,Athens County
99999,39,9,973101,39009973101,66160,53554,46.08,Low,4316,59,866,22.75,Non-Minority,Non-MSA,Athens County
99999,39,9,973200,39009973200,66160,53554,123.99,Upper,4581,1009,1994,14.34,Non-Minority,Non-MSA,Athens County
99999,39,9,973300,39009973300,66160,53554,169.21,Upper,3926,900,1465,21.42,Non-Minority,Non-MSA,Athens County
99999,39,9,973400,39009973400,66160,53554,84.02,Middle,3154,842,1489,11.19,Non-Minority,Non-MSA,Athens County
99999,39,9,973500,39009973500,66160,53554,85.02,Middle,3351,916,1398,12.68,Non-Minority,Non-MSA,Athens County
99999,39,9,973600,39009973600,66160,53554,110.1,Middle,3795,1012,1703,5.61,Non-Minority,Non-MSA,Athens County
99999,39,9,973700,39009973700,66160,53554,111.37,Middle,3971,1100,1518,5.77,Non-Minority,Non-MSA,Athens County
99999,39,9,973800,39009973800,66160,53554,92.35,Middle,4925,1351,2000,5.12,Non-Minority,Non-MSA,Athens County
99999,39,9,973901,39009973901,66160,53554,0,Unknown,6193,20,500,25.22,Non-Minority,Non-MSA,Athens County
99999,39,9,973902,39009973902,66160,53554,0,Unknown,3246,123,900,16.11,Non-Minority,Non-MSA,Athens County
99999,39,11,40100,39011040100,66160,53554,118.6,Middle,3726,1149,1599,5.61,Non-Minority,Non-MSA,Auglaize County
99999,39,11,40200,39011040200,66160,53554,100.72,Middle,4241,1280,1775,5.59,Non-Minority,Non-MSA,Auglaize County
99999,39,11,40300,39011040300,66160,53554,111.71,Middle,3553,961,1585,9.99,Non-Minority,Non-MSA,Auglaize County
99999,39,11,40400,39011040400,66160,53554,105.02,Middle,6882,1945,3013,6.66,Non-Minority,Non-MSA,Auglaize County
99999,39,11,40500,39011040500,66160,53554,128.43,Upper,5162,1635,2151,4.26,Non-Minority,Non-MSA,Auglaize County
99999,39,11,40600,39011040600,66160,53554,127.84,Upper,3749,931,1472,6.86,Non-Minority,Non-MSA,Auglaize County
99999,39,11,40900,39011040900,66160,53554,156.94,Upper,3751,983,1501,6.16,Non-Minority,Non-MSA,Auglaize County
99999,39,11,41000,39011041000,66160,53554,169.52,Upper,4011,981,1295,3.57,Non-Minority,Non-MSA,Auglaize County
99999,39,11,41100,39011041100,66160,53554,128.47,Upper,4003,1222,1565,4.92,Non-Minority,Non-MSA,Auglaize County
99999,39,11,41201,39011041201,66160,53554,117.67,Middle,2057,448,829,4.76,Non-Minority,Non-MSA,Auglaize County
99999,39,11,41202,39011041202,66160,53554,113.72,Middle,5287,1415,2215,7.07,Non-Minority,Non-MSA,Auglaize County
48540,39,13,10100,39013010100,65607,49928,91.83,Middle,3733,1063,1909,8.87,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,10200,39013010200,65607,49928,83.33,Middle,3516,821,1473,11.15,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,10300,39013010300,65607,49928,103.85,Middle,3401,1050,1348,4.68,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,10600,39013010600,65607,49928,103.52,Middle,3540,927,1411,5.59,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,10700,39013010700,65607,49928,117.06,Middle,2687,683,894,7.11,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,10802,39013010802,65607,49928,76.9,Moderate,2162,510,825,4.02,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,10901,39013010901,65607,49928,134.52,Upper,1733,408,548,2.65,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,10902,39013010902,65607,49928,79.71,Moderate,4875,1297,1907,5.37,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,11000,39013011000,65607,49928,106.69,Middle,4770,1114,1869,4.34,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,11200,39013011200,65607,49928,109.55,Middle,3167,870,1243,5.81,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,11300,39013011300,65607,49928,99.2,Middle,3696,1017,1659,4.63,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,11400,39013011400,65607,49928,78.48,Moderate,4292,1173,1673,6.41,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,11500,39013011500,65607,49928,78.59,Moderate,1435,342,724,10.31,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,11600,39013011600,65607,49928,69.02,Moderate,1151,272,470,16.68,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,11700,39013011700,65607,49928,62.11,Moderate,1285,239,523,17.2,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,11900,39013011900,65607,49928,102.64,Middle,2786,708,1179,12.46,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,12000,39013012000,65607,49928,83.35,Middle,2459,508,790,15.53,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,12100,39013012100,65607,49928,78.11,Moderate,1128,311,806,14.45,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,12201,39013012201,65607,49928,108.6,Middle,1810,442,571,5.08,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,12202,39013012202,65607,49928,133.71,Upper,4469,515,666,26.96,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,12300,39013012300,65607,49928,133.09,Upper,4078,937,1508,7.99,Non-Minority,"Wheeling, WV-OH",Belmont County
48540,39,13,12400,39013012400,65607,49928,136.08,Upper,4324,1313,1776,8.83,Non-Minority,"Wheeling, WV-OH",Belmont County
17140,39,15,951201,39015951201,83600,66133,105.66,Middle,4345,1268,1688,6.28,Non-Minority,"Cincinnati, OH-KY-IN",Brown County
17140,39,15,951202,39015951202,83600,66133,87.12,Middle,4818,1345,1786,6.48,Non-Minority,"Cincinnati, OH-KY-IN",Brown County
17140,39,15,951301,39015951301,83600,66133,101.35,Middle,5439,1447,2057,6.23,Non-Minority,"Cincinnati, OH-KY-IN",Brown County
17140,39,15,951302,39015951302,83600,66133,71.49,Moderate,2668,604,1189,4.42,Non-Minority,"Cincinnati, OH-KY-IN",Brown County
17140,39,15,951400,39015951400,83600,66133,74.76,Moderate,4234,1278,1708,5.01,Non-Minority,"Cincinnati, OH-KY-IN",Brown County
17140,39,15,951500,39015951500,83600,66133,85.6,Middle,5567,1664,2236,4.04,Non-Minority,"Cincinnati, OH-KY-IN",Brown County
17140,39,15,951600,39015951600,83600,66133,59.57,Moderate,3357,1014,1570,7.09,Non-Minority,"Cincinnati, OH-KY-IN",Brown County
17140,39,15,951700,39015951700,83600,66133,56.74,Moderate,2380,795,1129,8.24,Non-Minority,"Cincinnati, OH-KY-IN",Brown County
17140,39,15,951800,39015951800,83600,66133,71.07,Moderate,5218,1072,2117,7.99,Non-Minority,"Cincinnati, OH-KY-IN",Brown County
17140,39,15,951900,39015951900,83600,66133,78.94,Moderate,5650,1654,2331,5.19,Non-Minority,"Cincinnati, OH-KY-IN",Brown County
17140,39,17,100,39017000100,83600,66133,76,Moderate,4733,1306,1856,20.43,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,200,39017000200,83600,66133,59.04,Moderate,4253,940,1809,23.77,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,300,39017000300,83600,66133,35.65,Low,3574,825,1286,67.21,Majority Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,400,39017000400,83600,66133,29.64,Low,4747,856,1220,56.12,Majority Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,500,39017000500,83600,66133,53.32,Moderate,4520,1069,1579,33.83,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,600,39017000600,83600,66133,66.82,Moderate,4680,1159,1791,28.08,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,1001,39017001001,83600,66133,85.75,Middle,5907,1598,2381,15.73,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,1002,39017001002,83600,66133,93.53,Middle,5603,1158,2163,14.21,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,1100,39017001100,83600,66133,57.31,Moderate,4287,931,1880,19.9,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,1300,39017001300,83600,66133,78.25,Moderate,4443,1214,1687,13.19,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10102,39017010102,83600,66133,104.3,Middle,2965,701,1277,19.9,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10103,39017010103,83600,66133,116.18,Middle,5129,1267,2493,24.47,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10104,39017010104,83600,66133,19.43,Low,5545,25,25,17.13,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10105,39017010105,83600,66133,176.82,Upper,3560,459,1425,19.33,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10106,39017010106,83600,66133,35.51,Low,3241,171,1139,23.51,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10201,39017010201,83600,66133,0,Unknown,2451,8,20,20.36,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10202,39017010202,83600,66133,107.79,Middle,5238,1339,1978,14.95,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10203,39017010203,83600,66133,124.34,Upper,5345,1477,1876,5.13,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10301,39017010301,83600,66133,91.74,Middle,4378,1376,1671,5.85,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10302,39017010302,83600,66133,124.1,Upper,3523,995,1302,5.73,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10500,39017010500,83600,66133,63.52,Moderate,2336,684,973,11.34,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10600,39017010600,83600,66133,87.4,Middle,3249,1028,1326,6.96,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10800,39017010800,83600,66133,111,Middle,6672,1792,2448,6.16,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10901,39017010901,83600,66133,89.04,Middle,4882,1052,1844,25.15,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10903,39017010903,83600,66133,120.97,Upper,5563,1797,2230,28.82,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10904,39017010904,83600,66133,85.44,Middle,3812,1019,1460,21.93,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10906,39017010906,83600,66133,65.07,Moderate,7444,1701,2825,53.26,Majority Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10907,39017010907,83600,66133,88.08,Middle,2704,698,1102,28.96,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10909,39017010909,83600,66133,89.64,Middle,5165,1197,2257,55.72,Majority Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10910,39017010910,83600,66133,100.05,Middle,4894,1277,1838,26.11,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10911,39017010911,83600,66133,107.37,Middle,4145,1013,1400,19.86,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10912,39017010912,83600,66133,117.68,Middle,2318,617,883,34.81,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,10913,39017010913,83600,66133,69.08,Moderate,3518,772,1497,55.4,Majority Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11003,39017011003,83600,66133,113.37,Middle,6405,1833,2393,21.31,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11004,39017011004,83600,66133,66.29,Moderate,6442,1459,2366,46.18,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11005,39017011005,83600,66133,115.05,Middle,7208,2080,2621,26.3,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11006,39017011006,83600,66133,112.38,Middle,5767,1551,1896,20.96,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11109,39017011109,83600,66133,100.52,Middle,4504,1144,1759,24.05,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11110,39017011110,83600,66133,146.2,Upper,5373,1787,2290,14.54,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11111,39017011111,83600,66133,143.02,Upper,6690,1791,2224,19.36,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11112,39017011112,83600,66133,197.63,Upper,6670,1787,2051,27.42,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11118,39017011118,83600,66133,211.35,Upper,3487,885,1209,16.95,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11120,39017011120,83600,66133,148.15,Upper,8072,2007,2449,26.41,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11122,39017011122,83600,66133,138.8,Upper,5704,1382,2045,48.23,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11123,39017011123,83600,66133,54.18,Moderate,6042,1075,2176,62.56,Majority Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11125,39017011125,83600,66133,146.67,Upper,3744,983,1321,24.73,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11126,39017011126,83600,66133,130.81,Upper,5013,1507,2174,38.98,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11127,39017011127,83600,66133,147.14,Upper,4584,1209,1671,25.39,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11128,39017011128,83600,66133,184.36,Upper,2953,835,1120,27.9,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11129,39017011129,83600,66133,145.96,Upper,4396,1504,1795,27.16,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11130,39017011130,83600,66133,126.34,Upper,5398,1328,2047,32.12,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11131,39017011131,83600,66133,148.21,Upper,3545,963,1286,16.73,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11132,39017011132,83600,66133,164.31,Upper,4400,1076,1255,24.64,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11133,39017011133,83600,66133,189.39,Upper,4450,976,1251,17.55,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11134,39017011134,83600,66133,147.55,Upper,8101,2086,2475,22.92,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11135,39017011135,83600,66133,147.91,Upper,7199,1650,1994,27.56,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11136,39017011136,83600,66133,158.65,Upper,5042,1440,1573,25.96,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11137,39017011137,83600,66133,154,Upper,3462,910,984,21.63,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11200,39017011200,83600,66133,113.12,Middle,8868,2126,2972,16.52,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11300,39017011300,83600,66133,110.48,Middle,7038,1644,2149,22.58,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,11800,39017011800,83600,66133,113.07,Middle,6411,1653,2070,10.09,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,12100,39017012100,83600,66133,90.38,Middle,3170,837,1126,9.75,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,12200,39017012200,83600,66133,41.01,Low,3462,748,1400,20.88,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,12300,39017012300,83600,66133,63.89,Moderate,2121,557,1021,13.81,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,12400,39017012400,83600,66133,124.31,Upper,2439,692,1022,9.76,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,12500,39017012500,83600,66133,108.47,Middle,5024,1423,1939,18.45,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,12600,39017012600,83600,66133,98.71,Middle,2439,529,1176,16.2,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,12700,39017012700,83600,66133,75.8,Moderate,3153,827,1222,19.66,Non-Minority,"Cincinnati, OH-KY-IN",Butler County
17140,39,17,13000,39017013000,83600,66133,55.26,Moderate,1555,428,604,59.16,Majority Minority,"Cincinnati, OH-KY-IN",Butler County
